config1,config2,mean_rmse_config1,mean_rmse_config2,std_rmse_config1,std_rmse_config2,t_statistic,p_value,cohen_d,significant_force_rmse,better_config
hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_054_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-128,0.1776244577622469,0.2255335117714952,0.00443231141349088,0.003364415885335416,-25.82887920359173,8.45893986454025e-14,-12.175850423538602,True,hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512
hpo_069_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_009_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-128,0.20658843287803658,0.23657921443040428,0.0027301235219419464,0.002710156902146771,-23.388362948685085,8.47126629457201e-14,-11.025380027911615,True,hpo_069_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-128
hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512,hpo_003_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-128,0.18398307605308697,0.23347816082526865,0.0046417545347173786,0.0036780130343311477,-25.07221781633146,8.721544973537422e-14,-11.8191568248761,True,hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512
hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_021_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-128,0.19069381996348997,0.22610897950966688,0.0033519100008600118,0.002813910002397755,-24.27658698008408,8.947838135242804e-14,-11.444092851788334,True,hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128
hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_013_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-256,0.19069381996348997,0.22704349189621084,0.0033519100008600118,0.0032985919122133296,-23.18827107788269,9.725004872607821e-14,-10.931055815441828,True,hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128
hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_028_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-16_mlp_width-256,0.1776244577622469,0.22835413373525482,0.00443231141349088,0.004784357815701428,-23.33499729239595,9.910470491609793e-14,-11.000223216281933,True,hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512
hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128,hpo_018_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-128,0.1989055082850888,0.23362478201720607,0.0030634672169123777,0.0032652579204344332,-23.26322924542068,1.0018326225102295e-13,-10.96639143448945,True,hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128
hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_004_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-256,0.1776244577622469,0.23084594630318855,0.00443231141349088,0.005072222570628669,-23.703384186100937,1.0033133009319533e-13,-11.173882463374632,True,hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512
hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128,hpo_000_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-128,0.1989055082850888,0.24057241547657343,0.0030634672169123777,0.003936969182024755,-25.058066460729062,1.0373341566943764e-13,-11.812485811869806,True,hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128
hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512,hpo_011_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-512,0.18398307605308697,0.23257999162634416,0.0046417545347173786,0.004164990229115318,-23.377285346185868,1.0885223881967707e-13,-11.020157996013955,True,hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512
hpo_079_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-256,hpo_000_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-128,0.19423690680301775,0.24057241547657343,0.004436286608539018,0.003936969182024755,-23.43608249179241,1.1023504082760501e-13,-11.047875236262488,True,hpo_079_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-256
hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_045_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-128,0.1776244577622469,0.22371646678553286,0.00443231141349088,0.003718432297976623,-23.900405103093348,1.1388679362078999e-13,-11.266759014335246,True,hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512
hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_027_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-16_mlp_width-128,0.1776244577622469,0.2300456111825537,0.00443231141349088,0.005071549200080486,-23.348694527023262,1.2628662131266915e-13,-11.006680154607585,True,hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512
hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512,hpo_002_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-512,0.1776244577622469,0.2355887365194291,0.00443231141349088,0.005582217599219654,-24.396183460046103,1.2859615850717885e-13,-11.500471173113127,True,hpo_098_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-512
