config1,config2,mean_memory_at_max_atoms_(mib)_config1,mean_memory_at_max_atoms_(mib)_config2,std_memory_at_max_atoms_(mib)_config1,std_memory_at_max_atoms_(mib)_config2,t_statistic,p_value,cohen_d,significant_diff,better_config
hpo_104_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512,hpo_001_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-256,18337.666666666668,5922.0,3081.736902029979,2721.9674869476307,5.230070589513141,0.006654680734732011,4.270334754348136,True,hpo_001_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-256
hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_006_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-128,19482.333333333332,7095.333333333333,3099.985215018506,2642.692818572248,5.2668955687352,0.006666329672581999,4.3004022239756825,True,hpo_006_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-128
hpo_095_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-512,hpo_000_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-128,17481.333333333332,5281.0,2991.00323191623,2770.210100335352,5.18339931559252,0.006696642742457979,4.232227818764408,True,hpo_000_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-128
hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_076_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-256,22430.0,10797.666666666666,2283.414767404293,2941.9082809179035,5.410132587705695,0.00669733251769596,4.4173547602273695,True,hpo_076_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-256
hpo_087_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-128,hpo_001_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-256,17621.0,5922.0,2824.895927286526,2721.9674869476307,5.165378334313086,0.0066981898519023085,4.217513749164788,True,hpo_001_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-256
hpo_097_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_002_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-512,19506.333333333332,7215.666666666667,3036.780586959376,2747.248502289761,5.19848945796675,0.006702219770111876,4.24454886841868,True,hpo_002_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-512
hpo_097_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_046_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-256,19506.333333333332,7128.333333333333,3036.780586959376,2813.1520281231396,5.179145888727761,0.006715636687422876,4.228754910272106,True,hpo_046_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-256
hpo_097_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_039_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-128,19506.333333333332,7189.666666666667,3036.780586959376,2781.5503470786452,5.180276536239078,0.006743872953250193,4.2296780800993306,True,hpo_039_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-128
hpo_088_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-256,hpo_022_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-256,18936.666666666668,7077.333333333333,2831.1215680951136,2812.6289007498544,5.147137452939268,0.0067586054297284325,4.202620131889955,True,hpo_022_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-256
hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256,hpo_014_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-512,20643.0,7852.666666666667,3219.0116495595353,2720.2562991992745,5.256523758369412,0.0067624391300469605,4.2919336762739855,True,hpo_014_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-512
hpo_088_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-256,hpo_002_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-512,18936.666666666668,7215.666666666667,2831.1215680951136,2747.248502289761,5.146167118511041,0.006778903499555754,4.201827857146952,True,hpo_002_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-512
hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_045_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-128,19482.333333333332,6977.333333333333,3099.985215018506,2809.2198798480217,5.1773215709867415,0.006793475934538358,4.227265361074037,True,hpo_045_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-128
hpo_106_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-256,hpo_048_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128,20643.0,7794.666666666667,3219.0116495595353,2813.620147307261,5.205197510783464,0.006815637427836971,4.250025970608208,True,hpo_048_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128
hpo_089_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-512,hpo_050_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512,21089.0,9147.666666666666,2873.873344460399,2827.3061973074887,5.130376551516351,0.006841640227724317,4.1889349131848785,True,hpo_050_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-512
hpo_088_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-256,hpo_039_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-128,18936.666666666668,7189.666666666667,2831.1215680951136,2781.5503470786452,5.126441426022874,0.006861170270758104,4.1857218966739325,True,hpo_039_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-128
hpo_088_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-256,hpo_046_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-256,18936.666666666668,7128.333333333333,2831.1215680951136,2813.1520281231396,5.124529189019612,0.006865261338878997,4.184160561698846,True,hpo_046_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-256
hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256,hpo_084_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-128,17241.333333333332,4282.333333333333,3193.2698497517135,2975.9251222659036,5.142203544789631,0.0068720175791035865,4.198591612755166,True,hpo_084_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-128
hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_016_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-256,19482.333333333332,7125.666666666667,3099.985215018506,2726.3457838897352,5.1843056386419315,0.006883402641089419,4.232967828435467,True,hpo_016_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-256
hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_015_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-128,19482.333333333332,7132.333333333333,3099.985215018506,2724.7026137421553,5.182870729030059,0.006892898194836117,4.231796229643433,True,hpo_015_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-128
hpo_086_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-512,hpo_084_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-128,16361.333333333334,4282.333333333333,2796.1885368002877,2975.9251222659036,5.123435617714174,0.006941493274721577,4.183267664466954,True,hpo_084_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-32_mlp_width-128
hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_022_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-256,19482.333333333332,7077.333333333333,3099.985215018506,2812.6289007498544,5.133109844830522,0.0069980041312454905,4.191166637830571,True,hpo_022_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-32_mlp_width-256
hpo_095_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-512,hpo_009_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-128,17481.333333333332,5523.333333333333,2991.00323191623,2718.1538465166636,5.124680292145933,0.0070329189999228355,4.184283936884854,True,hpo_009_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-128
hpo_097_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_055_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-256,19506.333333333332,7248.333333333333,3036.780586959376,2841.4458174199513,5.105159096443011,0.007040004044576157,4.168344947337798,True,hpo_055_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-256
hpo_096_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_010_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-256,18206.666666666668,6208.666666666667,3009.42956942563,2713.2917891987463,5.1286277375619305,0.007042998690829068,4.187507012570415,True,hpo_010_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-256
hpo_089_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-512,hpo_034_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-256,21089.0,9342.333333333334,2873.873344460399,2775.9399008864248,5.092029868237458,0.0070440635842066186,4.157624977397744,True,hpo_034_num_layers-1_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-256
hpo_096_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_018_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-128,18206.666666666668,6115.0,3009.42956942563,2789.995878133156,5.103477040362765,0.007072710542215666,4.166971554299349,True,hpo_018_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-128
hpo_105_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_046_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-256,19482.333333333332,7128.333333333333,3099.985215018506,2813.1520281231396,5.111577087673352,0.007101871993245041,4.173585215233794,True,hpo_046_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-256
